url,title,postal_code,neighborhood,price,area,interior,rooms,year_const
https://www.pararius.com/apartment-for-rent/amsterdam/0a20f4da/jan-willem-brouwersstraat,Apartment Jan Willem Brouwersstraat,1071 LK Amsterdam ,Museumkwartier,4200,130 ,Unknown,4 ,Unknown
https://www.pararius.com/apartment-for-rent/amsterdam/848533c9/ceintuurbaan,Apartment Ceintuurbaan,1072 EW Amsterdam ,Oude Pijp,2750,79 ,Furnished,3 ,Unknown
https://www.pararius.com/apartment-for-rent/amsterdam/7210648d/van-eeghenstraat,Apartment Van Eeghenstraat,1071 EZ Amsterdam ,Museumkwartier,2800,81 ,Upholstered,3 ,Unknown
https://www.pararius.com/apartment-for-rent/amsterdam/83d81c14/van-eeghenstraat,Apartment Van Eeghenstraat,1071 EZ Amsterdam ,Museumkwartier,2650,81 ,Furnished,2 ,Unknown
https://www.pararius.com/apartment-for-rent/amsterdam/197ab132/paardekraalstraat,Apartment Paardekraalstraat,1092 JB Amsterdam ,Transvaalbuurt,2150,71 ,Upholstered,3 ,Unknown
https://www.pararius.com/apartment-for-rent/amsterdam/661de12c/grensstraat,Apartment Grensstraat,1091 SW Amsterdam ,Weesperzijde,2150,65 ,Furnished,2 ,Unknown
https://www.pararius.com/apartment-for-rent/amsterdam/6748003e/albert-cuypstraat,Apartment Albert Cuypstraat,1073 BG Amsterdam ,Oude Pijp,2150,65 ,Furnished,2 ,Unknown
https://www.pararius.com/apartment-for-rent/amsterdam/ed3bd367/panamakade,Apartment Panamakade,1019 AX Amsterdam ,Oostelijk Havengebied,2250,140 ,Furnished,5 ,Unknown
https://www.pararius.com/apartment-for-rent/amsterdam/611f1715/dickenslaan,Apartment Dickenslaan 186,1102 ZX Amsterdam ,Bijlmer Centrum,1550,50 ,Furnished,2 ,Unknown
https://www.pararius.com/apartment-for-rent/amsterdam/e81ea2ae/herengracht,Apartment Herengracht,1017 BP Amsterdam ,Grachtengordel-Zuid,2850,83 ,Upholstered,3 ,Unknown
https://www.pararius.com/apartment-for-rent/amsterdam/19d13bd9/surinameplein,Apartment Surinameplein,1058 GH Amsterdam ,Hoofddorppleinbuurt,2200,80 ,Furnished,4 ,Unknown
https://www.pararius.com/apartment-for-rent/amsterdam/4a6e02f3/des-presstraat,Apartment Des Présstraat,1075 NZ Amsterdam ,Willemspark,2850,92 ,Unknown,4 ,1926
