neighborhood,latitude,longitude
Museumkwartier,52.355760950000004,4.876834631189791
Oude Pijp,52.35549655,4.895019090411445
Transvaalbuurt,52.35386365,4.920172387174354
Weesperzijde,52.35394785,4.911977761220475
Oostelijk Havengebied,52.3735527,4.9384713
Bijlmer Centrum,52.3155462,4.9679324
Grachtengordel-Zuid,52.9569117,4.7718853
Hoofddorppleinbuurt,,
Willemspark,52.0864469,4.3047363
Noordelijke IJ-oevers West,,
Staatsliedenbuurt,52.3802865,4.870950694196747
Nieuwmarkt/Lastage,52.3721774,4.9063507
Omval/Overamstel,,
Stadionbuurt,52.3465311,4.862065826377204
Landlust,52.379775300000006,4.858760089030568
Haarlemmerbuurt,52.382441299999996,4.887193084850383
Jordaan,52.3754157,4.8810958
De Weteringschans,52.3611902,4.8864867
Da Costabuurt,52.3700059,4.8720826
Zeeburgereiland/Nieuwe Diep,,
Zuidas,52.3377797,4.8734447
IJburg West,52.3599582,4.9863636
Buitenveldert-West,,
Volewijck,52.389361550000004,4.911522906604832
Osdorp-Midden,,
Apollobuurt,52.348072599999995,4.875559011765657
Indische Buurt West,53.2361805,6.5723434
Westlandgracht,52.3518996,4.8455222
Houthavens,52.401402,4.8747614
Dapperbuurt,52.3618056,4.927432547972975
Middenmeer,52.8111468,4.9948462
Weesperbuurt/Plantage,52.3652238,4.9106557
Van Galenbuurt,52.9605315,4.7565131
Oostelijke Eilanden/Kadijken,,
Helmersbuurt,52.36335965,4.871285290301879
Rijnbuurt,52.3434126,4.909570827621826
Grachtengordel-West,52.9596138,4.7676764
Sloter-/Riekerpolder,,
IJplein/Vogelbuurt,,
Osdorp-Oost,52.359326,4.8077454
Hoofdweg e.o.,,
Indische Buurt Oost,52.36199475,4.938969409671746
Banne Buiksloot,52.40850545,4.918843082544989
Overtoomse Veld,52.3641934,4.8379711
Oosterparkbuurt,52.35846685,4.913725829475828
Middelveldsche Akerpolder,,
Oostzanerwerf,52.419673849999995,4.8894486263283135
Buitenveldert-Oost,52.33092,4.879574
Nieuwe Pijp,52.3519527,4.893078208064748
Vondelbuurt,52.3615431,4.875500995557072
Scheldebuurt,52.34279265,4.895360393784809
IJburg Zuid,,
Schinkelbuurt,52.35260635,4.8545909852399625
Geuzenbuurt,,
Bijlmer Oost,,
Frankendael,52.3481769,4.934914116523226
Burgwallen-Oude Zijde,52.3719455,4.896102752948329
Holendrecht/Reigersbos,52.2956478,4.9744218
Van Lennepbuurt,52.3652971,4.8684757
IJselbuurt,52.34818425,4.904786802960961
Burgwallen-Nieuwe Zijde,52.373706049999996,4.889922444800452
Overtoomse Sluis,52.35946775,4.860688749273366
Tuindorp Oostzaan,52.41279645,4.888052363986839
De Punt,53.1170275,6.6038686
Frederik Hendrikbuurt,52.3762344,4.8737427
Bedrijventerrein Sloterdijk,,
Erasmuspark,52.3750125,4.851834082914192
Westindische Buurt,52.36119585,4.853406109636863
Kinkerbuurt,52.3668678,4.8706191
De Kolenkit,52.377635549999994,4.842780933913047
Gein,,
Tuindorp Buiksloot,,
Prinses Irenebuurt e.o.,,
Spaarndammer- en Zeeheldenbuurt,,
Elzenhagen,52.0224745,4.203572848034596
Buikslotermeer,,
Geuzenveld,52.3783939,4.8016275
Waterlandpleinbuurt,52.39429355,4.953580003162736
Zuid Pijp,52.3542396,4.896946171061886
Centrale Markt,52.7069691,5.1531462
